,feature,importance
531,V1244,1.9546232196410163e-05
1703,V4538,1.9370950330555026e-05
1107,V3000,1.9219604162734605e-05
1379,V3479,1.9210342063147312e-05
1701,V4536,1.9140235799075533e-05
1687,V4489,1.8811047039601902e-05
1811,V4698,1.862392670470836e-05
1320,V3315,1.8482932074126435e-05
2172,V2382,1.7981332609384726e-05
1112,V3005,1.771190187216387e-05
1248,V3222,1.751432119617702e-05
1273,V3247,1.750852760423749e-05
1313,V3306,1.7440460882978126e-05
1287,V3262,1.7380331893246392e-05
1555,V3903,1.7271301251842175e-05
61,V0184,1.6760510591462552e-05
201,V0521,1.6756661415429086e-05
1474,V3618,1.620291829168563e-05
281,V0747,1.5460335676120707e-05
1272,V3246,1.4959512732615199e-05
724,V1850,1.4755500890029083e-05
1289,V3264,1.4752608848866977e-05
215,V0536,1.4661132570925606e-05
107,V0398,1.4600527323938017e-05
1754,V4612,1.435293554885586e-05
625,V1384,1.4206142008033051e-05
624,V1383,1.4131006930706569e-05
2150,V4040,1.40925423364191e-05
904,V2235,1.3893225443983859e-05
920,V2380,1.3746103497191964e-05
1585,V4094,1.3730098897712928e-05
647,V1467,1.3444871473644593e-05
1943,V5086,1.3413307126008966e-05
1553,V3899,1.3405587931780705e-05
896,V2226,1.3368779531841568e-05
2170,V0080,1.3205756945078306e-05
1822,V4735,1.2929552436757863e-05
1143,V3036,1.268635996554135e-05
325,V0832,1.2660591195479132e-05
714,V1835,1.2481551183385342e-05
56,V0177,1.2440745684072496e-05
351,V0921,1.2231346629310025e-05
1859,V4821,1.2078853512453858e-05
1136,V3029,1.2013893360973693e-05
895,V2225,1.1921910236134536e-05
1094,V2902,1.187894615323204e-05
1787,V4668,1.1860115484929601e-05
83,V0210,1.1763953862986565e-05
532,V1246,1.1714042304489247e-05
321,V0828,1.1661443565624818e-05
2098,V1204,1.1598164543102918e-05
1174,V3083,1.1493419934560656e-05
